MidDown,MidUp,label
6,4,O
8,6,O
87,90,O
85,88,O
83,85,O
81,83,O
79,80,O
77,77,O
75,75,O
73,73,O
71,70,O
71,70,O
71,69,O
71,69,O
71,68,O
71,68,O
71,68,O
71,68,O
71,68,O
70,67,O
70,66,O
71,66,O
70,66,O
70,66,O
71,66,O
71,66,O
71,66,O
71,65,O
71,66,O
71,66,O
72,67,O
72,67,O
72,67,O
72,67,O
72,67,O
71,67,O
72,67,O
71,67,O
71,67,O
71,67,O
71,67,O
71,67,O
70,67,O
70,67,O
70,67,O
70,67,O
70,67,O
71,66,O
71,66,O
71,66,O
71,66,O
70,66,O
70,66,O
71,66,O
71,65,O
71,65,O
71,65,O
71,65,O
71,65,O
70,65,O
70,65,O
71,65,O
71,65,O
71,65,O
71,65,O
71,65,O
71,65,O
71,65,O
71,65,O
71,65,O
71,65,O
71,65,O
71,65,O
71,65,O
71,66,O
72,66,O
71,66,O
71,66,O
71,65,O
72,65,O
71,65,O
71,65,O
71,65,O
71,65,O
71,65,O
71,65,O
70,66,O
70,66,O
69,68,O
68,68,O
67,69,O
66,70,O
66,70,O
65,71,O
65,72,O
64,72,O
64,72,O
64,72,O
64,72,O
65,72,O
65,72,O
64,71,O
64,71,O
63,72,O
63,72,O
64,72,O
64,71,O
65,70,O
66,70,O
67,69,O
68,68,O
69,67,O
71,66,O
72,65,O
73,64,O
74,64,O
74,64,O
74,63,O
74,63,O
74,63,O
73,64,O
72,64,O
70,65,O
69,66,O
67,66,O
66,67,O
65,68,O
63,68,O
62,69,O
61,69,O
61,69,O
60,69,O
60,69,O
60,69,O
60,69,O
60,69,O
60,70,O
60,70,O
60,70,O
60,70,O
59,70,O
59,70,O
59,70,O
59,70,O
59,70,O
59,70,O
59,70,O
59,70,O
59,70,O
59,70,O
59,69,O
60,69,O
62,67,O
63,66,O
65,66,O
66,64,O
68,63,O
70,63,O
72,62,O
73,61,O
75,61,O
76,60,O
76,61,O
76,61,O
76,61,O
75,61,O
75,61,O
74,62,O
73,63,O
71,63,O
69,64,O
67,65,O
66,66,O
64,67,O
63,68,O
61,70,O
60,71,O
59,71,O
59,71,O
59,70,O
59,70,O
59,70,O
59,70,O
59,70,O
59,70,O
59,68,O
60,68,O
59,68,O
60,68,O
60,68,O
60,68,O
60,68,O
60,68,O
60,68,O
60,68,O
60,68,O
61,67,O
61,67,O
61,67,O
61,67,O
60,67,O
60,67,O
59,66,O
59,66,O
58,66,O
57,67,O
57,67,O
57,66,O
59,66,O
61,65,O
63,64,O
65,64,O
66,63,O
68,62,O
70,61,O
72,61,O
74,60,O
75,59,O
76,59,O
77,59,O
77,59,O
78,59,O
78,58,O
79,58,O
79,58,O
79,58,O
77,60,O
76,61,O
73,62,O
71,63,O
68,63,O
66,64,O
64,64,O
62,65,O
60,66,O
58,66,O
57,67,O
56,67,O
56,68,O
55,68,O
54,70,O
53,70,O
53,72,O
52,73,O
51,74,O
51,75,O
51,75,O
51,74,O
53,72,O
55,70,O
25,35,C
26,36,C
27,42,C
27,47,C
26,52,C
26,58,C
26,64,C
25,69,C
24,74,C
22,76,C
19,74,C
18,74,C
17,72,C
17,72,C
17,72,C
16,71,C
16,70,C
17,69,C
16,67,C
16,66,C
16,65,C
16,63,C
17,62,C
17,60,C
17,59,C
17,58,C
17,57,C
17,56,C
17,56,C
