MidDown,MidUp,label
6,4,0
8,6,0
87,90,0
85,88,0
83,85,0
81,83,0
79,80,0
77,77,0
75,75,0
73,73,0
71,70,0
71,70,0
71,69,0
71,69,0
71,68,0
71,68,0
71,68,0
71,68,0
71,68,0
70,67,0
70,66,0
71,66,0
70,66,0
70,66,0
71,66,0
71,66,0
71,66,0
71,65,0
71,66,0
71,66,0
72,67,0
72,67,0
72,67,0
72,67,0
72,67,0
71,67,0
72,67,0
71,67,0
71,67,0
71,67,0
71,67,0
71,67,0
70,67,0
70,67,0
70,67,0
70,67,0
70,67,0
71,66,0
71,66,0
71,66,0
71,66,0
70,66,0
70,66,0
71,66,0
71,65,0
71,65,0
71,65,0
71,65,0
71,65,0
70,65,0
70,65,0
71,65,0
71,65,0
71,65,0
71,65,0
71,65,0
71,65,0
71,65,0
71,65,0
71,65,0
71,65,0
71,65,0
71,65,0
71,65,0
71,66,0
72,66,0
71,66,0
71,66,0
71,65,0
72,65,0
71,65,0
71,65,0
71,65,0
71,65,0
71,65,0
71,65,0
70,66,0
70,66,0
69,68,0
68,68,0
67,69,0
66,70,0
66,70,0
65,71,0
65,72,0
64,72,0
64,72,0
64,72,0
64,72,0
65,72,0
65,72,0
64,71,0
64,71,0
63,72,0
63,72,0
64,72,0
64,71,0
65,70,0
66,70,0
67,69,0
68,68,0
69,67,0
71,66,0
72,65,0
73,64,0
74,64,0
74,64,0
74,63,0
74,63,0
74,63,0
73,64,0
72,64,0
70,65,0
69,66,0
67,66,0
66,67,0
65,68,0
63,68,0
62,69,0
61,69,0
61,69,0
60,69,0
60,69,0
60,69,0
60,69,0
60,69,0
60,70,0
60,70,0
60,70,0
60,70,0
59,70,0
59,70,0
59,70,0
59,70,0
59,70,0
59,70,0
59,70,0
59,70,0
59,70,0
59,70,0
59,69,0
60,69,0
62,67,0
63,66,0
65,66,0
66,64,0
68,63,0
70,63,0
72,62,0
73,61,0
75,61,0
76,60,0
76,61,0
76,61,0
76,61,0
